13950
AIRLINE	FLIGHT_NUMBER	ORIGIN_AIRPORT	DESTINATION_AIRPORT	SCHEDULED_DEPARTURE	SCHEDULED_ARRIVAL	DISTANCE
F9	161	MSN	DEN	544	709	826
AA	1433	SAT	DFW	545	650	247
OO	6457	SMX	LAX	545	651	134
F9	117	MSP	DEN	545	654	680
B6	917	BOS	JFK	545	702	187
OO	2599	DEN	LAX	545	715	862
F9	365	MKE	DEN	545	726	896
EV	4646	CHS	EWR	545	741	628
MQ	2926	CHS	DFW	545	755	987
OO	4833	MKE	DTW	545	759	237
UA	1540	DCA	IAH	545	814	1208
DL	1890	DFW	ATL	545	849	731
AA	2299	JFK	MIA	545	850	1089
UA	1119	GEG	DEN	545	904	836
B6	721	BOS	PBI	545	910	1197
OO	5482	SBA	DEN	545	919	916
B6	939	JFK	BQN	545	1026	1576
UA	1237	SEA	IAH	545	1156	1874
HA	218	HNL	KOA	548	630	163
B6	515	BOS	BUF	549	725	395
MQ	3534	ABI	DFW	550	645	158
DL	2453	GSP	ATL	550	649	153
AA	1178	AUS	DFW	550	650	190
EV	5698	BDL	IAD	550	718	326
UA	1553	BOS	EWR	550	718	200
US	446	MCI	PHX	550	748	1044
US	403	DEN	PHX	550	749	602
US	641	IND	PHX	550	750	1488
OO	6261	SAT	SFO	550	759	1482
UA	507	CLE	IAH	550	804	1091
EV	4555	MCI	IAH	550	805	643
OO	5160	OMA	IAH	550	810	781
EV	4339	RIC	IAH	550	815	1157
B6	2228	MCO	EWR	550	819	937
OO	6224	RDM	DEN	550	913	898
UA	495	LAX	DEN	550	915	862
OO	6204	BFL	DEN	550	920	845
AA	2410	LAX	DFW	550	1050	1235
UA	228	PDX	EWR	550	1404	2434
B6	860	FLL	BDL	553	839	1173
EV	5230	CID	ATL	554	905	694
EV	3941	LAN	ORD	555	604	179
EV	2519	TYR	DFW	555	645	102
MQ	3161	XNA	DFW	555	710	280
EV	5976	BUF	EWR	555	715	282
B6	115	SYR	JFK	555	718	209
B6	185	ROC	JFK	555	720	264
EV	3928	MCI	ORD	555	729	403
UA	1507	TPA	EWR	555	831	997
UA	1222	MCO	LAX	555	836	2218
WN	526	SFO	DEN	555	925	967
AA	1233	BOS	DFW	555	930	1562
AA	1094	SEA	DFW	555	1150	1660
EV	5677	GSO	EWR	556	730	445
NK	224	ORD	LGA	556	900	733
UA	1457	LAX	IAH	557	1109	1379
AA	1205	EWR	MIA	559	902	1085
OO	5547	ONT	DEN	559	920	819
OO	5318	CMX	ORD	600	627	359
EV	6122	LEX	ORD	600	630	323
EV	6133	ERI	ORD	600	632	398
OO	6346	MRY	SFO	600	646	77
HA	202	HNL	ITO	600	650	216
OO	5466	CLD	LAX	600	651	86
OO	5445	SMF	SFO	600	652	86
OO	7423	INL	BRD	600	658	153
MQ	2962	CLL	DFW	600	700	164
MQ	3678	TXK	DFW	600	700	181
EV	6082	ATW	ORD	600	703	160
EV	4756	CLT	ORD	600	703	599
EV	4740	GRB	ORD	600	703	173
OO	5462	SPI	ORD	600	704	174
OO	6332	DFW	DEN	600	705	641
AA	2363	OKC	DFW	600	705	175
OO	6378	CID	ORD	600	708	196
OO	5170	DAL	IAH	600	708	216
OO	5242	BOI	LAX	600	710	674
MQ	3014	HOU	DFW	600	710	247
MQ	2898	MAF	DFW	600	710	309
OO	5592	CPR	DEN	600	712	230
OO	6465	SLC	LAX	600	712	590
AS	162	FAI	ANC	600	713	261
OO	5574	FAT	SFO	600	714	158
OO	6369	TUS	SFO	600	714	751
AS	699	GEG	SEA	600	715	224
AA	1345	TUL	DFW	600	715	237
EV	6143	CWA	ORD	600	716	212
MQ	3015	DFW	BTR	600	718	383
OO	5330	EAU	ORD	600	719	268
UA	210	MSP	DEN	600	719	680
MQ	2957	AMA	DFW	600	720	312
DL	750	BOS	JFK	600	720	187
MQ	3079	JLN	DFW	600	720	327
AA	1411	LIT	DFW	600	720	304
MQ	3224	LRD	DFW	600	720	396
B6	447	OAK	LGB	600	720	353
OO	6360	RAP	DEN	600	722	300
OO	5604	ACV	SFO	600	723	250
NK	188	OAK	LAS	600	723	407
B6	1790	DCA	BOS	600	724	399
EV	4768	TYS	IAD	600	725	419
OO	7392	ESC	DTW	600	727	306
UA	1296	SAT	LAX	600	727	1211
UA	1224	SFO	LAX	600	728	337
OO	6403	MFR	SFO	600	729	329
OO	2622	SMF	LAX	600	730	373
MQ	3441	TLH	DFW	600	730	767
EV	5491	OAJ	ATL	600	732	399
OO	5550	COD	DEN	600	733	391
OO	5429	PAH	ORD	600	733	342
WN	676	PHX	SLC	600	735	507
MQ	3350	RDU	JFK	600	735	427
EV	2533	TYS	DFW	600	735	772
OO	5292	DLH	ORD	600	736	397
OO	6401	EUG	SFO	600	736	451
OO	6276	FSD	ORD	600	736	462
UA	256	RSW	IAH	600	736	861
UA	374	OMA	ORD	600	737	416
NK	316	DTW	LGA	600	738	502
B6	159	BOS	PHL	600	739	280
MQ	3251	MHK	DFW	600	740	431
WN	4859	PVD	BWI	600	740	327
DL	1937	BWI	DTW	600	742	409
AS	406	PDX	SJC	600	742	569
WN	4122	BOS	BWI	600	745	369
MQ	3597	CVG	DFW	600	745	812
AA	1039	MCI	DFW	600	745	460
B6	1600	BOS	DCA	600	747	399
F9	902	ATL	TTN	600	750	701
MQ	3338	GSP	DFW	600	750	862
US	410	IAH	PHX	600	750	1009
MQ	3377	MOB	DFW	600	750	539
UA	214	PBI	IAH	600	750	956
AA	1573	TPA	DFW	600	750	929
EV	5103	ABE	DTW	600	753	425
UA	1198	BOS	ORD	600	753	867
EV	4213	MHT	ORD	600	753	843
DL	1961	RIC	ATL	600	753	481
AS	631	PHX	SEA	600	755	1107
NK	925	DFW	OAK	600	758	1457
DL	731	LGA	DTW	600	758	502
AS	342	SEA	OAK	600	759	671
F9	865	MSO	DEN	600	800	679
AA	2307	OMA	DFW	600	800	583
EV	5978	FAR	ORD	600	803	557
AS	200	SEA	SJC	600	803	697
MQ	3611	CAE	DFW	600	805	922
AA	1055	MCO	DFW	600	805	985
EV	4431	SAV	EWR	600	806	708
OO	5435	PSC	SFO	600	807	620
B6	1678	JAX	JFK	600	808	828
OO	6235	AUS	SFO	600	809	1504
DL	1234	PNS	ATL	600	809	271
AS	683	DEN	SEA	600	810	1024
OO	3489	FAT	SEA	600	810	748
EV	5917	JAN	ORD	600	814	677
AA	281	MIA	DFW	600	814	1121
UA	544	PIT	IAH	600	815	1117
EV	5275	JAN	ATL	600	819	341
US	1941	PVD	CLT	600	819	683
F9	901	TTN	ATL	600	819	701
MQ	3189	CID	DFW	600	820	685
F9	1057	IAH	SFO	600	820	1635
DL	1700	MEM	ATL	600	822	332
B6	198	MCO	LGA	600	825	950
MQ	3302	MLI	DFW	600	825	691
OO	3461	ONT	PDX	600	827	838
DL	1574	MCO	MSP	600	829	1310
DL	809	BOS	MSP	600	830	1124
B6	226	TPA	JFK	600	831	1005
MQ	3355	CVG	MIA	600	833	948
UA	1163	MCO	EWR	600	834	937
B6	154	PBI	JFK	600	834	1028
AA	175	DCA	DFW	600	835	1192
AA	913	DCA	MIA	600	837	919
DL	904	LGA	ATL	600	839	762
DL	743	RNO	SLC	600	840	422
B6	272	FLL	LGA	600	841	1076
US	459	MCO	PHX	600	841	1849
B6	130	RSW	JFK	600	841	1074
AA	233	BWI	MIA	600	843	946
B6	1502	FLL	JFK	600	843	1069
DL	421	JFK	ATL	600	843	760
MQ	3540	PNS	MIA	600	843	530
AA	196	MIA	PHL	600	844	1013
MQ	3221	CMH	MIA	600	846	990
AA	2204	MSY	MIA	600	849	675
AS	477	LAX	SEA	600	850	954
WN	2787	PIT	FLL	600	850	994
US	635	SMF	PHX	600	850	647
NK	943	ACY	RSW	600	851	982
B6	583	JFK	MCO	600	851	944
B6	838	BQN	JFK	600	852	1576
UA	319	EWR	MCO	600	853	937
B6	892	TPA	BOS	600	853	1185
AS	81	SEA	ANC	600	854	1448
US	610	SFO	PHX	600	854	651
F9	1104	CLE	FLL	600	855	1062
AA	1084	MIA	LGA	600	855	1096
US	646	OAK	PHX	600	855	646
MQ	3488	BHM	MIA	600	857	661
B6	353	JFK	PBI	600	858	1028
DL	1867	TUL	ATL	600	858	674
WN	2215	ABQ	HOU	600	900	759
B6	605	EWR	FLL	600	900	1065
B6	525	JFK	TPA	600	901	1005
B6	746	PSE	JFK	600	901	1617
B6	1504	SJU	JFK	600	902	1598
B6	371	LGA	FLL	600	903	1076
DL	1235	MCO	SLC	600	904	1931
DL	1540	OKC	ATL	600	904	761
AA	1103	LGA	DFW	600	905	1389
DL	977	ORD	ATL	600	907	606
UA	422	RNO	DEN	600	910	804
DL	2282	BOS	ATL	600	911	946
AA	1297	LGA	MIA	600	912	1096
UA	1016	DEN	IAH	600	922	862
OO	5522	PSC	DEN	600	922	852
DL	1098	ATW	ATL	600	923	765
AA	72	DFW	MCO	600	925	985
OO	6497	FAT	DEN	600	925	844
UA	247	PHX	IAH	600	928	1009
F9	144	SEA	DEN	600	933	1024
AA	1028	DEN	ORD	600	935	888
EV	4411	MEM	EWR	600	938	946
NK	972	DFW	FLL	600	939	1119
UA	1431	BOS	LAX	600	944	2611
B6	776	MSY	JFK	600	948	1182
AA	304	SLC	DFW	600	950	989
F9	1256	ORD	MIA	600	1000	1197
AA	1100	DFW	LGA	600	1010	1389
B6	794	AUS	JFK	600	1023	1521
AA	1088	LAS	DFW	600	1040	1055
AA	1462	ONT	DFW	600	1100	1188
DL	1205	PHX	ATL	600	1127	1587
AA	1180	SFO	DFW	600	1130	1464
AA	1660	SMF	DFW	600	1130	1431
AA	1534	PDX	DFW	600	1145	1616
F9	1056	SFO	IAH	600	1145	1635
UA	1188	PDX	IAH	600	1204	1825
AA	1515	LAX	ORD	600	1205	1744
UA	1735	LAX	ORD	600	1210	1744
UA	1158	SFO	ORD	600	1217	1846
DL	2417	LAS	DTW	600	1253	1749
DL	2154	LAX	ATL	600	1310	1947
WN	4822	LAS	BWI	600	1330	2106
WN	597	SFO	ATL	600	1340	2139
UA	1637	SEA	EWR	600	1411	2402
DL	1088	ANC	MSP	600	1417	2519
HA	113	HNL	LIH	601	638	102
EV	6020	ISN	DEN	601	710	576
OO	5629	PSP	SFO	601	735	421
OO	6420	PSP	DEN	601	912	776
UA	1689	EWR	SFO	601	940	2565
UA	1410	LAS	IAH	601	1056	1222
UA	576	SFO	EWR	601	1432	2565
UA	223	SAT	IAH	602	700	191
EV	5732	CAE	IAD	603	725	401
EV	4390	CLE	IAD	603	725	288
UA	1721	LAX	SFO	603	730	337
F9	756	PHX	DEN	603	750	602
UA	996	LAX	EWR	603	1422	2454
HA	286	HNL	OGG	605	641	100
MQ	3328	ACT	DFW	605	650	89
MQ	3288	SPS	DFW	605	650	113
F9	821	MCI	DEN	605	654	533
F9	609	IND	DEN	605	702	977
MQ	3408	SJT	DFW	605	705	229
F9	133	DFW	DEN	605	707	641
MQ	2881	FSM	DFW	605	715	227
OO	5181	OKC	LAX	605	724	1187
MQ	2771	AEX	DFW	605	725	285
OO	6499	FAR	DEN	605	726	627
B6	735	SFO	LGB	605	726	354
B6	233	BTV	JFK	605	733	266
DL	1456	RDU	ATL	605	735	356
UA	1245	CLE	EWR	605	736	404
AA	310	MFE	DFW	605	740	469
US	560	DFW	PHX	605	742	868
MQ	3643	JAN	DFW	605	745	408
AA	378	SJU	MIA	605	750	1045
WN	239	SAT	STL	605	805	786
AA	375	STL	DFW	605	805	550
AS	320	SEA	SFO	605	810	679
B6	1434	SJU	MCO	605	813	1189
AS	602	SEA	LAS	605	825	867
B6	1184	MCO	JFK	605	831	944
US	829	BOS	CLT	605	832	728
DL	1723	SFO	SLC	605	854	599
DL	1065	BDL	ATL	605	857	859
B6	922	PBI	BOS	605	857	1197
UA	1023	FLL	EWR	605	859	1065
AA	1291	MKE	DFW	605	900	853
EV	4928	PIA	ATL	605	901	565
US	1743	DTW	MIA	605	911	1145
B6	601	JFK	FLL	605	913	1069
WN	2505	GEG	DEN	605	925	836
WN	474	ONT	DEN	605	925	819
EV	4642	TUS	IAH	605	927	936
UA	415	JFK	SFO	605	949	2586
US	647	BOS	PHX	605	1014	2300
UA	234	SMF	IAH	605	1141	1609
OO	6461	MTJ	DEN	606	715	196
UA	1601	EWR	FLL	606	915	1065
UA	1160	SFO	IAH	606	1159	1635
OO	7389	GCC	RKS	607	724	261
NK	606	RSW	DTW	607	853	1084
EV	6119	RIC	ORD	608	725	642
OO	5456	RDM	SFO	608	750	462
UA	654	ORD	MCO	608	951	1005
UA	220	MSY	EWR	608	1000	1167
HA	205	OGG	HNL	609	641	100
OO	4494	SJC	SLC	609	911	584
EV	6071	GUC	DEN	610	709	152
OO	5572	MOT	DEN	610	723	604
UA	1725	LAS	SFO	610	746	414
B6	1554	SJU	FLL	610	753	1046
MQ	3601	DTW	LGA	610	755	502
B6	57	BOS	IAD	610	801	413
B6	1836	DTW	BOS	610	808	632
AS	345	OAK	SEA	610	809	671
EV	4556	VPS	IAH	610	809	528
US	1709	EWR	CLT	610	811	529
OO	5370	ORD	MBS	610	816	222
AA	1315	BNA	DFW	610	825	631
B6	1279	DCA	FLL	610	845	899
DL	327	PHL	ATL	610	845	666
AS	454	SEA	LAX	610	845	954
MQ	3551	ORF	MIA	610	846	802
MQ	3323	RIC	MIA	610	851	825
AA	1361	BNA	LAX	610	855	1797
F9	1252	MIA	LGA	610	905	1096
AA	1336	PHX	DFW	610	925	868
AA	1619	BOS	MIA	610	946	1258
AA	168	DFW	MIA	610	953	1121
DL	1492	PHX	MSP	610	1016	1276
AA	1686	LAX	STL	610	1145	1592
WN	828	PHX	BWI	610	1220	1999
UA	1632	SEA	IAD	610	1404	2306
B6	24	LAX	JFK	610	1424	2475
B6	269	BOS	FLL	611	944	1237
AA	1312	STL	MIA	611	1000	1068
OO	5337	MAF	DEN	612	708	563
EV	4506	MLU	IAH	612	725	262
NK	562	LAX	LAS	613	721	236
HA	107	KOA	HNL	614	656	163
OO	4681	EUG	SLC	614	909	618
B6	1403	JFK	SJU	614	1057	1598
UA	416	PDX	ORD	614	1209	1739
F9	439	OMA	DEN	615	700	472
EV	2572	PIB	MEI	615	700	69
OO	5608	SAN	LAX	615	707	109
OO	5464	LAR	DEN	615	708	113
EV	2522	LAW	DFW	615	710	140
MQ	3432	DCA	JFK	615	718	213
OO	5348	SBP	LAX	615	726	156
AA	1165	BOS	JFK	615	730	187
OO	6571	DRO	PHX	615	739	351
F9	582	SLC	DEN	615	747	391
OO	5636	BFL	SFO	615	750	238
EV	2512	BRO	DFW	615	750	482
MQ	3568	CMH	LGA	615	750	479
B6	99	BDL	DCA	615	755	313
DL	1275	DCA	DTW	615	755	405
WN	1966	CMH	ATL	615	805	447
EV	4655	MEM	IAH	615	805	468
EV	5123	MGM	ATL	615	806	147
EV	4531	CHS	IAH	615	807	925
WN	137	HOU	PHX	615	810	1020
AA	1125	DTW	DFW	615	820	986
DL	828	MOB	ATL	615	823	302
DL	1919	LGA	MSP	615	824	1020
DL	985	LAS	SLC	615	841	368
AS	504	SEA	SNA	615	850	978
DL	2384	SMF	SLC	615	853	532
OO	6616	FAT	PHX	615	855	493
MQ	3613	MSN	DFW	615	855	821
B6	2006	FLL	EWR	615	900	1065
AA	2253	MSP	DFW	615	900	852
OO	6573	MRY	PHX	615	901	598
US	1754	RNO	PHX	615	902	601
WN	2351	HOU	ATL	615	905	696
OO	4747	OAK	SLC	615	905	588
MQ	2958	FAR	DFW	615	915	968
DL	978	SAN	SLC	615	916	626
B6	962	SJU	BOS	615	922	1674
OO	5256	COS	IAH	615	934	809
AA	1581	DFW	DCA	615	959	1192
DL	1610	DEN	DTW	615	1119	1123
US	1789	PHX	CLT	615	1203	1773
DL	1866	SFO	ATL	615	1345	2139
NK	612	MSP	ORD	616	745	334
NK	940	DFW	ORD	616	835	802
OO	6368	BIS	DEN	617	717	516
HA	101	ITO	HNL	618	707	216
B6	762	PBI	LGA	619	857	1035
OO	5249	SAT	ORD	619	911	1041
DL	1518	MCO	ATL	620	751	404
EV	4468	CAE	IAH	620	801	878
DL	1588	DCA	MSP	620	805	931
F9	1338	IAD	MSP	620	805	908
UA	207	FLL	IAH	620	811	965
OO	4716	ISN	MSP	620	817	546
OO	5616	HLN	DEN	620	818	594
US	1931	BUF	CLT	620	819	546
MQ	3173	GRI	DFW	620	820	561
MQ	3205	SAV	DFW	620	825	925
AA	955	RDU	MIA	620	830	700
NK	742	DFW	MSP	620	839	852
NK	470	PDX	SAN	620	840	933
EV	5534	BTR	ATL	620	848	448
DL	2129	ROC	ATL	620	851	749
AS	545	ONT	SEA	620	900	956
OO	4762	PSP	SLC	620	906	541
WN	698	CMH	FLL	620	910	973
US	460	SJC	PHX	620	913	621
WN	885	SMF	PHX	620	920	647
WN	687	PVD	MCO	620	930	1072
UA	1192	SAN	DEN	620	945	853
AA	1186	DFW	BOS	620	1045	1562
WN	799	LAS	HOU	620	1110	1235
AA	2420	LAX	DFW	620	1120	1235
AA	1390	SAN	DFW	620	1125	1171
AA	269	SJC	DFW	620	1155	1438
UA	732	SEA	ORD	620	1216	1721
WN	603	SAN	MDW	620	1230	1728
WN	823	SAN	BWI	620	1415	2295
UA	1568	SAN	EWR	620	1440	2425
UA	1026	MCO	IAH	621	754	854
B6	1481	BOS	RIC	621	814	474
OO	6372	FSD	DEN	622	712	483
F9	344	BZN	DEN	622	755	524
OO	4624	FAT	SLC	622	910	501
NK	200	IAH	ORD	623	855	925
DL	1515	PIT	DTW	624	750	201
UA	206	EWR	IAH	624	923	1400
B6	2180	EWR	BOS	625	733	200
NK	969	BWI	ORD	625	734	622
AA	2272	SAT	DFW	625	735	247
EV	5221	SCE	DTW	625	752	301
AA	1635	ATL	DFW	625	755	731
MQ	3609	LEX	DFW	625	805	785
DL	2234	BWI	MSP	625	816	936
AA	1079	CLT	DFW	625	820	936
US	1982	FLL	CLT	625	822	631
DL	891	MIA	ATL	625	825	594
AA	2379	RDU	DFW	625	840	1061
MQ	3634	VPS	DFW	625	840	641
DL	2480	MDT	ATL	625	851	620
AA	127	IAD	DFW	625	855	1172
OO	6557	SBA	PHX	625	855	455
OO	6564	SBP	PHX	625	906	509
AA	1207	PHL	DFW	625	920	1303
B6	966	RSW	BOS	625	923	1249
B6	70	FLL	BOS	625	925	1237
WN	343	MDW	PHX	625	925	1444
UA	525	MIA	EWR	625	926	1085
F9	308	GEG	DEN	625	937	836
AA	1343	DFW	CLT	625	945	936
AS	124	FAI	SEA	625	1050	1533
WN	871	DEN	ATL	625	1120	1199
AA	387	LAX	AUS	625	1120	1242
US	598	LAX	PHL	625	1424	2402
OO	6230	COS	DEN	626	719	73
EV	4418	PNS	IAH	626	812	489
EV	3272	CLE	ORD	627	654	315
HA	104	LIH	HNL	628	700	102
OO	7396	TWF	SLC	628	720	175
DL	1592	SAN	ATL	629	1330	1892
OO	2604	SAN	LAX	630	725	109
EV	3261	RIC	IAD	630	727	100
UA	572	AUS	IAH	630	731	140
OO	4553	BOI	LAX	630	740	674
EV	2549	BPT	DFW	630	740	270
OO	5628	RNO	SFO	630	743	192
OO	5381	STC	ORD	630	756	394
EV	4306	GPT	IAH	630	757	376
DL	1872	TPA	ATL	630	758	406
OO	5186	SFO	SAN	630	802	447
US	401	CLT	PHL	630	803	449
NK	379	ACY	MYR	630	805	466
UA	195	BDL	ORD	630	809	783
AS	157	ANC	OTZ	630	812	548
US	835	PHL	CLT	630	814	449
MQ	2913	GPT	DFW	630	825	500
B6	1285	BOS	PIT	630	828	496
OO	5581	MSP	LAX	630	830	1535
AA	148	MIA	CLT	630	835	650
F9	295	TPA	DEN	630	835	1506
AA	330	PBI	ORD	630	840	1144
WN	660	SJU	TPA	630	840	1237
US	595	ONT	PHX	630	844	325
F9	711	RSW	DEN	630	844	1607
DL	2283	DTW	ATL	630	845	594
MQ	3649	MGM	DFW	630	845	622
US	649	LAX	PHX	630	849	370
F9	1108	CLE	MCO	630	850	895
US	567	SAN	PHX	630	853	304
OO	6588	BFL	PHX	630	903	425
EV	3929	EWR	JAX	630	909	820
AS	573	SAN	PDX	630	910	933
DL	1809	EWR	ATL	630	917	746
F9	1246	DEN	DFW	630	920	641
AS	499	SAN	SEA	630	930	1050
B6	1099	LGA	MCO	630	931	950
AA	1381	EWR	DFW	630	935	1372
DL	1984	AUS	ATL	630	937	813
B6	929	JFK	RSW	630	945	1074
B6	23	JFK	LAX	630	947	2475
DL	783	MSP	ATL	630	1008	907
US	674	EWR	PHX	630	1011	2133
US	433	JFK	PHX	630	1018	2153
DL	2370	MSY	LGA	630	1018	1183
DL	2114	COS	ATL	630	1125	1184
WN	4570	SEA	MDW	630	1230	1733
DL	1598	SEA	ATL	630	1405	2182
UA	1231	HNL	LAX	630	1408	2556
DL	418	SFO	JFK	630	1455	2586
UA	577	SFO	EWR	630	1459	2565
UA	1534	TPA	ORD	631	819	1012
HA	114	HNL	OGG	632	708	100
EV	5764	ORD	IAD	632	924	589
OO	5297	MKE	ORD	633	727	67
B6	675	JFK	MSY	633	904	1182
OO	4758	PLN	DTW	635	754	243
DL	2005	MLB	ATL	635	810	442
AA	1349	MSY	DFW	635	815	447
AA	129	JAX	DFW	635	825	918
DL	2290	PIT	ATL	635	844	526
US	474	LAS	PHX	635	846	255
OO	3460	PDX	ONT	635	849	838
MQ	3443	SPI	DFW	635	850	630
EV	5579	ABE	ATL	635	854	692
AS	576	PDX	SAN	635	854	933
UA	410	MIA	ORD	635	855	1197
AA	1543	PIT	DFW	635	855	1067
AS	240	SEA	SAN	635	918	1050
AA	1441	JFK	LAS	635	925	2248
B6	1467	HPN	PBI	635	931	1056
AA	2220	COS	DFW	635	935	592
AS	724	SEA	SLC	635	936	689
B6	475	PVD	MCO	635	945	1072
WN	1926	SAT	ATL	635	950	874
DL	1864	SAN	MSP	635	1219	1532
WN	1119	PDX	MDW	635	1230	1751
US	700	SEA	PHL	635	1436	2378
UA	665	RSW	EWR	638	930	1068
DL	1056	SJC	MSP	639	1230	1576
AS	548	BLI	SEA	640	717	93
OO	5492	MSN	ORD	640	737	108
AS	709	SLC	SJC	640	743	584
EV	2555	SHV	DFW	640	745	190
AA	1285	IAH	DFW	640	750	224
EV	2506	CRP	DFW	640	800	354
EV	2537	MLU	DFW	640	800	293
OO	4577	CIU	DTW	640	804	284
EV	2561	BTR	DFW	640	805	383
WN	832	SJC	LAS	640	805	386
US	1943	BWI	CLT	640	814	361
US	1718	MCO	CLT	640	816	468
MQ	3476	CHS	MIA	640	820	489
OO	6495	COS	LAX	640	825	833
DL	1332	RSW	ATL	640	828	515
MQ	3359	FWA	DFW	640	830	859
NK	567	DTW	ATL	640	834	594
US	1946	EWR	CLT	640	841	529
WN	653	MKE	LAS	640	845	1524
OO	3456	PDX	BUR	640	850	817
MQ	3589	GSO	MIA	640	856	710
AA	1305	DSM	DFW	640	900	624
AS	558	PDX	LAX	640	904	834
MQ	2775	PIA	DFW	640	905	672
MQ	2966	ROW	DFW	640	905	435
WN	692	CAK	MCO	640	910	861
